time,lat,lon,ugrd10m,vgrd10m,dir,speed
2019-06-01T00:00:00Z,35,-85.5,1.720681071281433,-1.0599584579467773,121.63352595881918,2.0209540523324945
2019-06-01T03:00:00Z,35,-85.5,0.6821703910827637,-0.18442870676517487,105.1285729305452,0.7066614396930723
2019-06-01T06:00:00Z,35,-85.5,0.4336596727371216,-0.3940795958042145,132.2623682180367,0.58596880427859
2019-06-01T09:00:00Z,35,-85.5,0.1673901379108429,-0.4440014660358429,159.34337795932151,0.4745068599206852
2019-06-01T12:00:00Z,35,-85.5,-0.6723241806030273,-0.6334252953529358,226.70636330262346,0.9237139214153298
2019-06-01T15:00:00Z,35,-85.5,0.5442333817481995,0.00897216796875,89.0555140300037,0.5443073337804121
2019-06-01T18:00:00Z,35,-85.5,1.8436107635498047,-1.0729137659072876,120.19783355355273,2.133083354337109
2019-06-01T21:00:00Z,35,-85.5,1.6801269054412842,-1.879213809967041,138.201426013365,2.5207679310001048
2019-06-02T00:00:00Z,35,-85.5,1.8152978420257568,-1.2986620664596558,125.57988855172896,2.232001213737267
2019-06-02T03:00:00Z,35,-85.5,0.8204589486122131,-0.34669187664985657,112.90690031557813,0.8907009283103153
2019-06-02T06:00:00Z,35,-85.5,1.0912182331085205,-0.07582763582468033,93.97503506427844,1.0938496526594694
2019-06-02T09:00:00Z,35,-85.5,0.8216820955276489,0.019758300855755806,88.62252185199294,0.8219196168503432
2019-06-02T12:00:00Z,35,-85.5,0.3119750916957855,-0.26215818524360657,130.04092934140542,0.4074989226106186
2019-06-02T15:00:00Z,35,-85.5,2.537661075592041,-0.597277820110321,103.24439418643917,2.6070029783202573
2019-06-02T18:00:00Z,35,-85.5,4.403937816619873,-1.3951513767242432,107.57801106426314,4.619644537908752
2019-06-02T21:00:00Z,35,-85.5,4.230312347412109,-2.508366584777832,120.66585017686955,4.918073350438905
2019-06-03T00:00:00Z,35,-85.5,1.8746044635772705,-1.588356852531433,130.27468620920672,2.457034673309961
2019-06-03T03:00:00Z,35,-85.5,0.8248950242996216,-1.577734351158142,152.39784851206167,1.7803644244756962
2019-06-03T06:00:00Z,35,-85.5,0.3750695586204529,-1.2978392839431763,163.88095035854136,1.3509492887410237
2019-06-03T09:00:00Z,35,-85.5,0.2526318430900574,-1.5773779153823853,170.90082035412013,1.5974804963063427
2019-06-03T12:00:00Z,35,-85.5,0.07020752131938934,-1.4824926853179932,177.28862644112826,1.4841541894530927
2019-06-03T15:00:00Z,35,-85.5,-0.5248254537582397,-2.067512273788452,194.2433412046455,2.1330843300672475
2019-06-03T18:00:00Z,35,-85.5,-0.3753942847251892,-2.239863157272339,189.51417637699205,2.271102778896267
2019-06-03T21:00:00Z,35,-85.5,-0.19019652903079987,-2.583571672439575,184.21038664968438,2.5905631253238335
2019-06-04T00:00:00Z,35,-85.5,-0.3584521412849426,-1.9906493425369263,190.2077446034999,2.0226647627658068
2019-06-04T03:00:00Z,35,-85.5,-1.1297484636306763,-2.0649609565734863,208.68324697173097,2.3538044403154568
2019-06-04T06:00:00Z,35,-85.5,-1.5249072313308716,-1.5647631883621216,224.2609401121273,2.184908670818617
2019-06-04T09:00:00Z,35,-85.5,-1.369775414466858,-1.3199975490570068,226.0602144161647,1.902282370100285
2019-06-04T12:00:00Z,35,-85.5,-1.3479650020599365,-1.2315502166748047,227.58403319456048,1.8258492771776653
2019-06-04T15:00:00Z,35,-85.5,-1.6236803531646729,1.1157934665679932,304.49685728619244,1.9701098825417773
2019-06-04T18:00:00Z,35,-85.5,-0.940521240234375,2.8082029819488525,341.48331035690455,2.9615172110184393
2019-06-04T21:00:00Z,35,-85.5,0.06925415247678757,2.6639208793640137,1.489187283598535,2.6648209300339145
2019-06-05T00:00:00Z,35,-85.5,0.4192541539669037,1.3933227062225342,16.74666733251991,1.4550334048721323
2019-06-05T03:00:00Z,35,-85.5,-0.1702563464641571,0.9477270245552063,349.8156164172242,0.9628986117881715
2019-06-05T06:00:00Z,35,-85.5,-0.7618066072463989,1.1558666229248047,326.61199014087657,1.3843326756368433
2019-06-05T09:00:00Z,35,-85.5,-0.5182152986526489,0.9795165657997131,332.11882719566364,1.108151523228533
2019-06-05T12:00:00Z,35,-85.5,-0.08409423381090164,1.337893009185791,356.4033638933897,1.3405333058855544
2019-06-05T15:00:00Z,35,-85.5,-0.5504345297813416,2.046035051345825,344.94250659828174,2.1187821036886545
2019-06-05T18:00:00Z,35,-85.5,4.357851505279541,2.0858616828918457,64.42214853129865,4.8313237008322645
2019-06-05T21:00:00Z,35,-85.5,3.105707883834839,3.4630980491638184,41.88576900430805,4.651716839816899
2019-06-06T00:00:00Z,35,-85.5,0.6987524032592773,1.4729760885238647,25.378790960514415,1.630310853311012
2019-06-06T03:00:00Z,35,-85.5,0.8763964772224426,1.7541991472244263,26.546676563696327,1.9609399362068212
2019-06-06T06:00:00Z,35,-85.5,1.1009899377822876,1.1947094202041626,42.662258906662075,1.6246567150701134
2019-06-06T09:00:00Z,35,-85.5,0.7573828101158142,1.1336987018585205,33.745442087898894,1.3634153687173334
2019-06-06T12:00:00Z,35,-85.5,0.36964598298072815,0.4351513683795929,40.34674571221141,0.5709596011421657
2019-06-06T15:00:00Z,35,-85.5,0.7296972274780273,1.54458487033844,25.28712191813683,1.708274118947991
2019-06-06T18:00:00Z,35,-85.5,0.34715330600738525,0.6327490210533142,28.75106530103981,0.7217248378127115
2019-06-06T21:00:00Z,35,-85.5,-0.1170947253704071,1.3044238090515137,354.87045600229646,1.3096689079038377
